column,dtype,non_null,description
provider,str,1289,Ontology source (bioportal for now).
acronym,str,1289,BioPortal ontology acronym (primary key per provider).
name,str,1289,Ontology name from BioPortal.
submission_id,int64,1289,BioPortal submission id that was downloaded and scored (-1 if none).
catalog_status,str,1289,"ok, no_submission, or error when fetching metadata."
catalog_error,str,27,Error text when BioPortal metadata could not be fetched.
catalog_fetched_at,str,1289,When the BioPortal metadata was fetched (UTC).
bp_viewing_restriction,str,1289,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_summary_only,object,1076,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_flat,object,331,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_is_view,bool,1289,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_view_of,object,0,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_categories,str,1289,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_groups,str,1289,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_ontology_type,str,1289,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_language,str,1262,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_version,str,1043,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_released,str,1262,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_creation_date,str,1262,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_modification_date,str,97,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_submission_status,str,1289,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_status,str,1216,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_description,str,1289,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_homepage,str,703,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_documentation,str,370,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_publication,str,1289,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_ontology_uri,object,0,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_natural_language,str,1262,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_master_file_name,str,14,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_pull_location,str,415,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_contact_names,str,1289,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_classes,float64,1257,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_individuals,float64,1257,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_properties,float64,1257,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_max_depth,float64,1257,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_max_child_count,float64,1257,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_average_child_count,float64,1257,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_classes_with_one_child,float64,1257,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_classes_with_more_than_25_children,float64,1257,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_classes_with_no_definition,float64,1257,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
bp_url,str,1289,"BioPortal metadata (ontology record, latest submission, or BioPortal metrics endpoint)."
download_status,str,1262,"ok, not_downloadable (license 401/403), private, summary_only, skipped_too_large, not_found, html_response, failed."
download_variant,str,1236,"Which download worked: rdf:submission, rdf:latest, original:submission, or local."
download_http_status,float64,1250,Download detail.
download_url,str,1236,Download detail.
download_raw_path,str,1236,Download detail.
download_eval_path,str,1236,Download detail.
download_bytes,float64,1236,Size of the downloaded file in bytes.
eval_bytes,float64,1236,Size of the file that was parsed (after unzip).
download_sha256,str,1236,SHA-256 of the downloaded file.
download_content_type,str,1236,Download detail.
download_server_filename,str,1236,Download detail.
download_sniffed_format,str,1236,Download detail.
download_archive_type,str,4,Download detail.
download_archive_members,str,3,Download detail.
download_attempts,float64,1262,Download detail.
download_started_at,str,1262,Download detail.
download_finished_at,str,1262,Download detail.
download_seconds,float64,1250,Download detail.
download_error,str,14,Download detail.
download_attempts_log,str,1250,Download detail.
download_run_id,str,1262,Download detail.
eval_status,str,1236,"done, parse_failed, timeout, memory_limit, memory_error, error, crashed, interrupted, gave_up, pending."
eval_attempts,float64,1236,How many times evaluation was started for this ontology.
eval_started_at,str,1236,"Evaluation bookkeeping (status, times, errors, file paths)."
eval_finished_at,str,1236,"Evaluation bookkeeping (status, times, errors, file paths)."
eval_seconds,float64,1236,"Wall time of the evaluation seen by the notebook, in seconds."
eval_error_type,str,18,"Evaluation bookkeeping (status, times, errors, file paths)."
eval_error,str,18,"Evaluation bookkeeping (status, times, errors, file paths)."
eval_traceback,object,0,"Evaluation bookkeeping (status, times, errors, file paths)."
eval_stage_at_failure,str,18,"Evaluation bookkeeping (status, times, errors, file paths)."
describe_score,float64,1218,WiseOwl Describe (0-10): 10 x share of entities with a descriptive annotation.
define_score,float64,1218,WiseOwl Define (0-10): 10 x mean of 0.4 x match + 0.6 x adequacy; undefined entities count as 0.
connection_score,float64,1218,WiseOwl Connection (0-10): 10 x (0.7 coverage + 0.2 diversity + 0.1 richness).
flat_score,float64,1218,WiseOwl Flat (integer 0-10): round((depth score + breadth score) / 2).
core_average,float64,1218,"Mean of the four core scores, full precision (the WiseOwl average)."
eval_result_path,str,1218,"Evaluation bookkeeping (status, times, errors, file paths)."
eval_entities_path,str,1212,"Evaluation bookkeeping (status, times, errors, file paths)."
eval_parent_peak_rss_mb,float64,1236,"Evaluation bookkeeping (status, times, errors, file paths)."
eval_timeout_min,float64,1236,"Evaluation bookkeeping (status, times, errors, file paths)."
eval_run_id,str,1236,"Evaluation bookkeeping (status, times, errors, file paths)."
ontology_iri,str,1218,"owl:Ontology IRI in the file, or a file hash if none is declared."
version_iri,str,1218,"owl:versionIRI, or a file hash if none is declared."
sniffed_format,str,1218,Format detected from file content before parsing.
parse_format,str,1218,rdflib format that parsed the file.
parse_attempts,float64,1218,How many rdflib formats were tried before one worked.
triple_count,float64,1218,Number of RDF triples in the parsed file (imports are not followed).
subjects,float64,1218,Distinct RDF subjects in the file.
distinct_predicates,float64,1218,Distinct RDF predicates in the file.
classes,float64,1218,"WiseOwl class set (typed classes, subClassOf participants, SKOS concepts)."
named_classes,float64,1218,classes minus owl:Thing and owl:Nothing.
individuals,float64,1218,Subjects typed with a class that are not classes.
entities,float64,1218,Classes plus individuals: the population the metrics score.
annotation_properties,float64,1218,Subjects typed owl:AnnotationProperty (they count as Describe signals).
object_properties_declared,float64,1218,Subjects typed owl:ObjectProperty.
datatype_properties_declared,float64,1218,Subjects typed owl:DatatypeProperty.
owl_classes_typed,float64,1218,Subjects typed owl:Class.
