acronym,name,web_status,catalog_status,catalog_error,download_status,download_http_status,download_error,eval_status,eval_error_type,eval_error,eval_stage_at_failure,eval_attempts,eval_bytes,bp_classes,bp_language
ADMF,alzhaimer dessiese main factors,not_downloadable,ok,,summary_only,,,,,,,,,0.0,OWL
BCMO,Breast Cancer-Microbiome Ontology ,not_downloadable,ok,,summary_only,,,,,,,,,0.0,OWL
BLLM,Large Language Model Ontology,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
BOSHI,boshra,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
BPFORMS,"Ontology of chemically concrete, composable DNA, RNA, and protein residue and crosslinks",parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,unsupported_format:obo,parse,1.0,1603954.0,0.0,OBO
C19M,COVID-19,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
CATALOG-THEMES,Catalog Themes,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,"C:\owl4_run\downloads\CATALOG-THEMES\3\CATALOG-THEMES_3_rdf.xrdf: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix). Last error: file:///C:/owl4_run/downloads/CATALOG-THEMES/3/CATALOG-THEMES_3_rdf.xrdf:2:0: syntax error",parse,1.0,8898.0,0.0,SKOS
CCO,Cell Cycle Ontology,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,unsupported_format:obo,parse,1.0,256083060.0,264891.0,OBO
CEDARPC,CEDAR Provisional Classes,not_downloadable,ok,,summary_only,,,,,,,,,0.0,OWL
CHEBI,Chemical Entities of Biological Interest Ontology,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,unsupported_format:obo,parse,1.0,270898581.0,238248.0,OBO
CHEMBIO,Systems Chemical Biology and Chemogenomics Ontology ,not_downloadable,ok,,summary_only,,,,,,,,,0.0,OWL
CO,Crop Ontology,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
CPT,CPT - Current Procedural Terminology,not_downloadable,ok,,summary_only,,,,,,,,,14403.0,UMLS
CS,Coping Strategies for Adverse Drug Events Ontology,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,unsupported_format:owlxml,parse,1.0,11978763.0,0.0,OWL
DMTO,Diabetes Mellitus Treatment Ontology,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,unsupported_format:empty,parse,1.0,0.0,10700.0,OWL
DRMO,Dental Restorative Material Ontology,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,"C:\owl4_run\downloads\DRMO\1\DRMO_1_rdf.xrdf: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix). Last error: file:///C:/owl4_run/downloads/DRMO/1/DRMO_1_rdf.xrdf:2:0: Only elements in the TriX namespace are allowed. http://www.w3.org/1999/02/22-rdf-syntax-ns#!=http://www.w3.org/2004/03/trix/trix-1/",parse,1.0,419797.0,253.0,OWL
DSAV,Digital Specimen Accessibility Vocabulary,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
FARMACI,FARMACI AIFA,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
FASTO,HL7 FHIR and SSN ontology based Type 1 Diabetes Mellitus Ontology,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,unsupported_format:empty,parse,1.0,0.0,9577.0,OWL
FITBIT,Fitbit Vocabulary,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
FLUXO,Metabolic Flux Analysis Ontology,failed,ok,,html_response,200.0,server returned HTML,,,,,,,,OWL
GAZ,Gazetteer,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,unsupported_format:obo,parse,1.0,189228723.0,668838.0,OBO
GECCO,COVID-19 Common Datamodel,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,"C:\owl4_run\downloads\GECCO\1\GECCO_1_rdf.xrdf: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix). Last error: file:///C:/owl4_run/downloads/GECCO/1/GECCO_1_rdf.xrdf:2:0: Only elements in the TriX namespace are allowed. http://www.w3.org/1999/02/22-rdf-syntax-ns#!=http://www.w3.org/2004/03/trix/trix-1/",parse,1.0,10972312.0,5383.0,OWL
GENEVIEVE,Charlotte,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
HC,Habronattus Courtship Ontology,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
HCMO,Home Cage Monitoring Ontology,failed,ok,,html_response,200.0,server returned HTML,,,,,,,,OWL
