id,ts,run_id,phase,acronym,level,message
1,2026-09-23T02:20:36+00:00,20260922-212036-f0644b,init,,INFO,"session started, work_dir=C:\owl4_run"
2,2026-09-23T02:20:49+00:00,20260922-212036-f0644b,evaluate,,INFO,"worker ready: {""type"": ""ready"", ""pid"": 32440, ""device"": ""cuda"", ""batch_size"": 128, ""model_load_seconds"": 5.96, ""torch"": ""2.12.0.dev20260330+cu128"", ""cuda_available"": true, ""gpu_name"": ""NVIDIA GeForce RTX 5090"", ""python"": ""3.11.15"", ""platform"": ""Windows-10-10.0.26200-SP0""}"
3,2026-09-23T02:20:51+00:00,20260922-212036-f0644b,parity,,INFO,"[{""name"": ""tiny"", ""ok"": true, ""got"": {""describe_score"": 9.29, ""define_score"": 4.81, ""connection_score"": 1.65, ""flat_score"": 6}, ""expected"": {""describe_score"": 9.29, ""define_score"": 4.81, ""connection_score"": 1.65, ""flat_score"": 6}, ""seconds"": 0.566}, {""name"": ""goodrelations"", ""ok"": true, ""got"": {""describe_score"": 9.29, ""define_score"": 6.09, ""connection_score"": 3.87, ""flat_score"": 8}, ""expected"": {""describe_score"": 9.29, ""define_score"": 6.09, ""connection_score"": 3.87, ""flat_score"": 8}, ""seconds"": 0.476}]"
4,2026-09-23T02:20:53+00:00,20260922-212036-f0644b,catalog,,INFO,1289 ontologies listed
5,2026-09-23T02:30:01+00:00,20260922-212036-f0644b,catalog,,INFO,"catalog phase finished: {'ok': 1262, 'no_submission': 27}"
6,2026-09-23T03:02:53+00:00,20260922-212036-f0644b,download,PR,WARNING,"failed: stream failed: ChunkedEncodingError: ('Connection broken: IncompleteRead(1074454528 bytes read, 204960142 more expected)', IncompleteRead(1074454528 bytes read, 204960142 more expected))"
7,2026-09-23T03:26:11+00:00,20260922-212036-f0644b,download,,INFO,"download phase finished: {'ok': 19, 'failed': 1}"
8,2026-09-23T03:26:18+00:00,20260922-212036-f0644b,evaluate,,INFO,"worker ready: {""type"": ""ready"", ""pid"": 24336, ""device"": ""cuda"", ""batch_size"": 128, ""model_load_seconds"": 5.72, ""torch"": ""2.12.0.dev20260330+cu128"", ""cuda_available"": true, ""gpu_name"": ""NVIDIA GeForce RTX 5090"", ""python"": ""3.11.15"", ""platform"": ""Windows-10-10.0.26200-SP0""}"
9,2026-09-23T03:29:41+00:00,20260922-212036-f0644b,evaluate,GAZ,WARNING,parse_failed at stage parse: unsupported_format:obo
10,2026-09-23T04:00:54+00:00,20260922-212036-f0644b,evaluate,,INFO,"evaluate phase finished: {'done': 18, 'parse_failed': 1}; worker restarts 0"
11,2026-09-23T04:00:54+00:00,20260922-212036-f0644b,export,,INFO,exported 15 files to C:\owl4_run\exports
12,2026-09-23T04:10:38+00:00,20260922-212036-f0644b,download,HERO,WARNING,"not_downloadable: {""errors"":[""License restrictions on download for HERO""],""status"":403}"
13,2026-09-23T04:11:55+00:00,20260922-212036-f0644b,download,WHO-ART,WARNING,"not_downloadable: {""errors"":[""License restrictions on download for WHO-ART""],""status"":403}"
14,2026-09-23T04:15:32+00:00,20260922-212036-f0644b,download,ICNP,WARNING,"not_downloadable: {""errors"":[""License restrictions on download for ICNP""],""status"":403}"
15,2026-09-23T04:17:46+00:00,20260922-212036-f0644b,download,ICPC2P,WARNING,"not_downloadable: {""errors"":[""License restrictions on download for ICPC2P""],""status"":403}"
16,2026-09-23T04:20:47+00:00,20260922-212036-f0644b,download,ICD10,WARNING,"not_downloadable: {""errors"":[""License restrictions on download for ICD10""],""status"":403}"
17,2026-09-23T04:22:50+00:00,20260922-212036-f0644b,download,MDDB,WARNING,"not_downloadable: {""errors"":[""License restrictions on download for MDDB""],""status"":403}"
18,2026-09-23T04:32:00+00:00,20260922-212036-f0644b,download,NDDF,WARNING,"not_downloadable: {""errors"":[""License restrictions on download for NDDF""],""status"":403}"
19,2026-09-23T04:34:13+00:00,20260922-212036-f0644b,download,NDFRT,WARNING,"not_downloadable: {""errors"":[""License restrictions on download for NDFRT""],""status"":403}"
20,2026-09-23T05:02:47+00:00,20260922-212036-f0644b,download,RCD,WARNING,"not_downloadable: {""errors"":[""License restrictions on download for RCD""],""status"":403}"
21,2026-09-23T05:48:20+00:00,20260922-212036-f0644b,download,SNOMEDCT,WARNING,"not_downloadable: {""errors"":[""License restrictions on download for SNOMEDCT""],""status"":403}"
22,2026-09-23T06:03:24+00:00,20260922-212036-f0644b,download,HCMO,WARNING,html_response: server returned HTML
23,2026-09-23T06:03:24+00:00,20260922-212036-f0644b,download,HSCLO38,WARNING,"not_found: {""errors"":[""No source file is available for this submission""],""status"":404}"
24,2026-09-23T06:03:25+00:00,20260922-212036-f0644b,download,FLUXO,WARNING,html_response: server returned HTML
25,2026-09-23T06:03:25+00:00,20260922-212036-f0644b,download,,INFO,"download phase finished: {'ok': 1217, 'summary_only': 12, 'already_ok': 19, 'not_downloadable': 10, 'already_failed': 1, 'html_response': 2, 'not_found': 1}"
26,2026-09-23T06:03:32+00:00,20260922-212036-f0644b,evaluate,,INFO,"worker ready: {""type"": ""ready"", ""pid"": 22916, ""device"": ""cuda"", ""batch_size"": 128, ""model_load_seconds"": 5.95, ""torch"": ""2.12.0.dev20260330+cu128"", ""cuda_available"": true, ""gpu_name"": ""NVIDIA GeForce RTX 5090"", ""python"": ""3.11.15"", ""platform"": ""Windows-10-10.0.26200-SP0""}"
