acronym,name,web_status,catalog_status,catalog_error,download_status,download_http_status,download_error,eval_status,eval_error_type,eval_error,eval_stage_at_failure,eval_attempts,eval_bytes,bp_classes,bp_language
ADMF,alzhaimer dessiese main factors,not_downloadable,ok,,summary_only,,,,,,,,,0.0,OWL
BCMO,Breast Cancer-Microbiome Ontology ,not_downloadable,ok,,summary_only,,,,,,,,,0.0,OWL
BLLM,Large Language Model Ontology,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
BMS-LM,BioMedical Study Lifecycle Management,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,unsupported_format:empty,parse,1.0,0.0,154.0,OWL
BOSHI,boshra,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
BPFORMS,"Ontology of chemically concrete, composable DNA, RNA, and protein residue and crosslinks",parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,unsupported_format:obo,parse,1.0,1603954.0,0.0,OBO
C19M,COVID-19,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
CATALOG-THEMES,Catalog Themes,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,"unsupported format (tried turtle, auto, xml, n3, nt, trig, trix). Last error: file:///C:/owl4_run/downloads/CATALOG-THEMES/3/CATALOG-THEMES_3_original-submission.ttl:1:0: not well-formed (invalid token)",parse,1.0,1207.0,0.0,SKOS
CCO,Cell Cycle Ontology,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,unsupported_format:obo,parse,1.0,256083060.0,264891.0,OBO
CEDARPC,CEDAR Provisional Classes,not_downloadable,ok,,summary_only,,,,,,,,,0.0,OWL
CHEMBIO,Systems Chemical Biology and Chemogenomics Ontology ,not_downloadable,ok,,summary_only,,,,,,,,,0.0,OWL
CO,Crop Ontology,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
CPT,CPT - Current Procedural Terminology,not_downloadable,ok,,summary_only,,,,,,,,,14403.0,UMLS
CS,Coping Strategies for Adverse Drug Events Ontology,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,"unsupported format (tried owlready2:owlxml). Last error: OWL/XML parsing error in file C:\owl4_run\downloads\CS\1\CS_1_original.owl, line 15, column 76.",parse,1.0,11978763.0,0.0,OWL
DRMO,Dental Restorative Material Ontology,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,"unsupported format (tried turtle, auto, xml, n3, nt, trig, trix). Last error: file:///C:/owl4_run/downloads/DRMO/1/DRMO_1_original-submission.rdf:1:0: not well-formed (invalid token)",parse,1.0,295118.0,253.0,OWL
DSAV,Digital Specimen Accessibility Vocabulary,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
DSIP,Pharmacy mock data,empty,ok,,ok,200.0,,done,,,,1.0,219.0,0.0,SKOS
FARMACI,FARMACI AIFA,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
FITBIT,Fitbit Vocabulary,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
FLUXO,Metabolic Flux Analysis Ontology,failed,ok,,html_response,200.0,server returned HTML,,,,,,,,OWL
GENEVIEVE,Charlotte,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
HC,Habronattus Courtship Ontology,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
HCMO,Home Cage Monitoring Ontology,failed,ok,,html_response,200.0,server returned HTML,,,,,,,,OWL
HERO,Healthcare Monitoring and Emergency Response Ontology,not_downloadable,ok,,not_downloadable,403.0,"{""errors"":[""License restrictions on download for HERO""],""status"":403}",,,,,,,1205.0,OWL
HIV,HIV ontology,parse_failed,ok,,ok,200.0,,parse_failed,OntologyParseError,unsupported_format:obo,parse,1.0,2411067.0,0.0,OBO
HIVHPV,HIVHPV,no_submission,no_submission,latest_submission http=200 ,,,,,,,,,,,
HIVHPVSTOM,HIVHPVStom,not_downloadable,ok,,summary_only,,,,,,,,,0.0,OWL
HMADO,Human Microbiome Associated Disease Ontology ,not_downloadable,ok,,summary_only,,,,,,,,,0.0,OWL
HMIS033B,HMIS 033,empty,ok,,ok,200.0,,done,,,,1.0,15811.0,0.0,SKOS
HSCLO38,Homo sapiens Chromosomal Location Ontology for GRCh38,failed,ok,,not_found,404.0,"{""errors"":[""No source file is available for this submission""],""status"":404}",,,,,,,,OWL
ICD10,"International Classification of Diseases, Version 10",not_downloadable,ok,,not_downloadable,403.0,"{""errors"":[""License restrictions on download for ICD10""],""status"":403}",,,,,,,12445.0,UMLS
