provider,acronym,name,web_status,describe_score,define_score,define_bp_score,connection_score,flat_score,core_average,core_average_2dp,core_average_bp,core_average_bp_2dp,define_bp_source,weakest_metric,bp_categories,bp_language,submission_id,bp_version,bp_released,bp_url
bioportal,ABA-AMB,Allen Brain Atlas (ABA) Adult Mouse Brain Ontology,scored,9.99,0.01,0.01,0.0,10.0,5.0,5.0,5.0,5.0,"same_as_strict (1.0 result, not re-checked)",Connection,Mouse_Anatomy,OWL,1,1,2009-06-12T00:00:00.000-07:00,https://bioportal.bioontology.org/ontologies/ABA-AMB
bioportal,ABD,Anthology of Biosurveillance Diseases,scored,9.99,0.01,0.01,1.62,9.0,5.155,5.16,5.155,5.16,"same_as_strict (1.0 result, not re-checked)",Define,All_Organisms;Health;Human;Plant,OWL,4,,2016-09-13T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/ABD
bioportal,ACESO,Adverse Childhood Experiences Ontology,scored,9.83,0.0,0.0,0.66,9.0,4.8725000000000005,4.87,4.8725000000000005,4.87,"same_as_strict (1.0 result, not re-checked)",Define,,OWL,2,Light,2018-12-21T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/ACESO
bioportal,ACGT-MO,Cancer Research and Management ACGT Master Ontology,scored,9.79,1.24,1.24,2.73,10.0,5.9399999999999995,5.94,5.9399999999999995,5.94,"same_as_strict (1.0 result, not re-checked)",Define,Health,OWL,2,1.1,2010-01-03T00:00:00.000-08:00,https://bioportal.bioontology.org/ontologies/ACGT-MO
bioportal,ACVD_ONTOLOGY,Atherosclerotic Cerebrovascular Disease Ontology,scored,9.99,0.0,0.0,0.0,10.0,4.9975000000000005,5.0,4.9975000000000005,5.0,"same_as_strict (1.0 result, not re-checked)",Define,Neurological_Disorder,OWL,4,2.0,2023-06-08T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/ACVD_ONTOLOGY
bioportal,AD-CDO,Alzheimer's Disease Common Data Element Ontology for Clinical Trials,scored,9.97,0.0,0.0,0.19,10.0,5.04,5.04,5.04,5.04,"same_as_strict (1.0 result, not re-checked)",Define,Biomedical_Resources;Neurologic_Disease;Vocabularies,OWL,2,,2026-05-21T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/AD-CDO
bioportal,AD-DROP,Alzheimer Disease Relevance Ontology by Process,scored,9.89,0.4,0.4,2.64,8.0,5.2325,5.23,5.2325,5.23,"same_as_strict (1.0 result, not re-checked)",Define,Biomedical_Resources,OWL,1,alpha,2020-11-18T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/AD-DROP
bioportal,ADALAB,AdaLab ontology,scored,9.98,5.68,5.68,0.26,10.0,6.48,6.48,6.48,6.48,"same_as_strict (1.0 result, not re-checked)",Connection,Biological_Process,OWL,10,0.9.2,2017-06-28T18:00:05.000-07:00,https://bioportal.bioontology.org/ontologies/ADALAB
bioportal,ADALAB-META,AdaLab-meta ontology,scored,6.36,2.29,2.29,1.8,10.0,5.112500000000001,5.11,5.112500000000001,5.11,"same_as_strict (1.0 result, not re-checked)",Connection,Biomedical_Resources;Other;Vocabularies,OWL,12,0.9.2,2017-09-14T18:00:07.000-07:00,https://bioportal.bioontology.org/ontologies/ADALAB-META
bioportal,ADAR,Autism DSM-ADI-R ontology,scored,5.64,1.0,1.0,4.0,10.0,5.16,5.16,5.16,5.16,"same_as_strict (1.0 result, not re-checked)",Define,Health,OWL,1,1.1,2015-03-27T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/ADAR
bioportal,ADCAD,Arctic Data Center Academic Disciplines Ontology,scored,9.85,0.0,0.0,0.0,10.0,4.9625,4.96,4.9625,4.96,"same_as_strict (1.0 result, not re-checked)",Define,,OWL,1,Version 1.0.0,2021-12-16T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/ADCAD
bioportal,ADHER_INTCARE_EN,Adherence and Integrated Care,scored,9.92,4.1,4.1,2.28,10.0,6.575,6.58,6.575,6.58,"same_as_strict (1.0 result, not re-checked)",Connection,Biomedical_Resources;Health;Other;Taxonomic_Classification;Vocabularies,OWL,1,English 051319,2019-05-13T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/ADHER_INTCARE_EN
bioportal,ADHER_INTCARE_SP,Adherence and Integrated Care in Spanish,scored,9.92,6.87,6.87,2.35,10.0,7.285,7.28,7.285,7.28,"same_as_strict (1.0 result, not re-checked)",Connection,Biomedical_Resources;Health;Other;Taxonomic_Classification;Vocabularies,OWL,6,Spanish 052319,2019-04-26T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/ADHER_INTCARE_SP
bioportal,ADICAP,Association pour le Développement de l'Informatique en Cytologie et Anatomie Pathologique,scored,9.94,0.15,0.15,0.21,10.0,5.075,5.08,5.075,5.08,"same_as_strict (1.0 result, not re-checked)",Define,Biomedical_Resources;Cellular_anatomy_;Health;Human;Human_Developmental_Anatomy,OWL,1,10-2024,2024-10-01T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/ADICAP
bioportal,ADMF,alzhaimer dessiese main factors,not_downloadable,,,,,,,,,,,,,OWL,1,,2020-05-07T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/ADMF
bioportal,ADMIN,Nurse Administrator,scored,9.81,6.33,6.33,0.31,10.0,6.6125,6.61,6.6125,6.61,"same_as_strict (1.0 result, not re-checked)",Connection,Health,OWL,1,,2015-09-24T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/ADMIN
