acronym,eval_status,eval_bytes,triple_count,entities,classes,individuals,bp_classes,sniffed_format,parse_format,eval_seconds,wall_seconds,parent_peak_rss_mb,gpu_peak_allocated_mb,define_device,define_defined,time_sniff,time_parse,time_identity,time_index,time_stats,time_describe,time_define,time_connection,time_flat,time_entities_table,time_total,time_write_outputs,time_define_bp,define_seconds_encode_labels,define_seconds_encode_definitions,download_seconds
ABA-AMB,done,817786.0,7095.0,914.0,914.0,0.0,913.0,xml,xml,0.553,0.553,0.0,451.6,cuda,1.0,0.0,0.245,0.001,0.018,0.001,0.002,0.016,0.001,0.003,0.003,0.426,0.013,,0.007,0.007,0.388
ABD,done,888412.0,10419.0,1446.0,1446.0,0.0,1445.0,xml,xml,0.632,0.632,0.0,451.4,cuda,2.0,0.0,0.29,0.001,0.028,0.001,0.003,0.019,0.005,0.01,0.005,0.503,0.016,,0.007,0.008,0.391
ACESO,done,188270.0,1670.0,297.0,297.0,0.0,296.0,xml,xml,0.3,0.3,0.0,450.7,,0.0,0.0,0.051,0.001,0.004,0.0,0.001,0.0,0.001,0.002,0.001,0.188,0.006,,,,0.191
ACGT-MO,done,1417003.0,13381.0,1815.0,1770.0,45.0,1770.0,xml,xml,1.109,1.109,1679.5,982.1,cuda,340.0,0.0,0.445,0.001,0.171,0.002,0.003,0.162,0.005,0.008,0.005,0.963,0.023,,0.034,0.121,0.563
ACVD_ONTOLOGY,done,2026065.0,21112.0,1720.0,1720.0,0.0,1719.0,xml,xml,1.181,1.181,1694.3,450.7,,0.0,0.0,0.788,0.002,0.062,0.002,0.006,0.003,0.001,0.006,0.006,1.043,0.017,,,,0.945
AD-CDO,done,189423.0,1427.0,292.0,292.0,0.0,291.0,xml,xml,0.3,0.3,0.0,450.7,,0.0,0.0,0.049,0.001,0.004,0.0,0.001,0.0,0.0,0.001,0.001,0.182,0.006,,,,0.211
AD-DROP,done,133543.0,997.0,88.0,26.0,62.0,25.0,xml,xml,0.316,0.316,0.0,469.0,cuda,5.0,0.0,0.036,0.001,0.003,0.0,0.0,0.018,0.0,0.0,0.001,0.189,0.006,,0.009,0.008,0.552
ADALAB,done,602109.0,5071.0,463.0,461.0,2.0,460.0,xml,xml,0.681,0.681,0.0,983.1,cuda,402.0,0.0,0.171,0.001,0.014,0.001,0.002,0.211,0.001,0.002,0.002,0.542,0.013,,0.059,0.146,0.349
ADALAB-META,done,195703.0,1650.0,88.0,78.0,10.0,78.0,xml,xml,0.333,0.333,0.0,572.0,cuda,29.0,0.0,0.055,0.001,0.004,0.0,0.0,0.034,0.0,0.001,0.001,0.221,0.006,,0.01,0.022,0.261
ADAR,done,9098624.0,62672.0,1401.0,791.0,610.0,791.0,xml,xml,3.327,3.327,1802.5,981.7,cuda,210.0,0.0,2.343,0.006,0.371,0.002,0.004,0.149,0.014,0.004,0.005,3.162,0.019,,0.03,0.113,3.08
